Name,Link,Prize Pool,Buy In,Top Prize,Max Entries,Entries,Cash Line,Winner,Winning Score,Week
NFL GIANT $5 Double Up [Single Entry],Contest,25000.0,5.0,10,1,5747,199.18,Reeve2001,256.98,Week 4
NFL GIANT $10 Double Up,Contest,25000.0,10.0,20,86,2873,211.68,7bushes,247.18,Week 4
NFL GIANT $100 Double Up [Single Entry],Contest,25000.0,100.0,200,1,277,205.08,ktown82,241.58,Week 4
NFL $25K Stiff Arm [Single Entry],Contest,25000.0,555.0,7000,1,50,202.88,da1andonlybc,220.68,Week 4
NFL $25K Touchdown,Contest,25000.0,200.0,5000,4,138,197.88,Awesemo,234.6,Week 4
NFL $25K Red Zone [Single Entry],Contest,25000.0,50.0,3000,1,568,193.16,wioux,247.48,Week 4
NFL $25K Red Zone [Single Entry],Contest,25000.0,50.0,3000,1,568,197.22,thorses,247.18,Week 4
NFL $25K Singleback [3 Entry Max],Contest,25000.0,1.0,1500,3,29726,183.16,clayharned,267.76,Week 4
NFL $25K Play-Action [$5K to 1st],Contest,25000.0,3.0,5000,20,9908,177.96,Anrk11,261.76,Week 4
NFL $25K Hail Mary,Contest,25000.0,12.0,2500,73,2450,189.26,BaeRuth,265.16,Week 4
NFL $25K First Down [20 Entry Max],Contest,25000.0,1.0,1500,20,29726,175.98,GreenTailShiner,270.06,Week 4
NFL $20K Spy [Single Entry],Contest,20000.0,100.0,3000,1,222,188.86,kfalik,235.68,Week 4
NFL $20K Safety,Contest,20000.0,2.0,2000,20,11890,186.6,tshirt,269.18,Week 4
NFL $18K Game Changer [Single Entry],Contest,18000.0,1060.0,8000,1,18,208.0,thewildbuffalo,231.1,Week 4
Week 4 DFS Edge Listener League,Contest,17500.0,5.0,500,3,3500,194.9,rcullinan,257.68,Week 4
NFL $15K Stiff Arm [Single Entry],Contest,15000.0,555.0,4000,1,30,206.56,themasterson,228.68,Week 4
NFL $15K Hard Count [3 Entry Max],Contest,15000.0,20.0,1500,3,882,190.0,1ryang1,247.96,Week 4
NFL $15K Fair Catch [Single Entry],Contest,15000.0,12.0,1500,1,1470,180.98,circushogs,249.06,Week 4
NFL $15K Fair Catch [Single Entry],Contest,15000.0,12.0,1500,1,1470,185.5,grandprixmusic,262.56,Week 4
NFL $15K Fair Catch [Single Entry],Contest,15000.0,12.0,1500,1,1470,183.9,pavdav,255.36,Week 4
NFL $15K Mini-MAX [150 Entry Max],Contest,15000.0,0.5,1200,150,35671,188.28,Tzeese,263.9,Week 4
NFL $15K Daily Dollar [Single Entry],Contest,15000.0,1.0,750,1,17835,183.96,packfan78,267.56,Week 4
NFL $12K Red Zone [Single Entry],Contest,12000.0,50.0,1200,1,272,191.08,bs850,234.98,Week 4
NFL $12K Flea Flicker,Contest,12000.0,5.0,1000,85,2853,184.18,rxendaddy,249.16,Week 4
NFL Fantasy Football Millionaire SUPERSatellite [500x],Contest,10000.0,1.0,0,20,11890,207.48,eebob2072,251.38,Week 4
NFL BIG 10x Booster [Top 500 Win $20],Contest,10000.0,2.0,20,20,5882,208.6,bjarz | bjarz,248.88,Week 4
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,199.18,nymets86 | ilikepeople,237.28,Week 4
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,192.48,Sofa_King_Scandalous,240.1,Week 4
NFL Single Entry $2 Double Up,Contest,10000.0,2.0,4,1,5747,194.68,eronkin,253.28,Week 4
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,186.5,dmckinn2,247.96,Week 4
NFL $25 Double Up,Contest,10000.0,25.0,50,13,459,205.08,NZiggs,248.28,Week 4
NFL $25 Double Up,Contest,10000.0,25.0,50,13,459,191.68,vinokane | dmckinn2,247.96,Week 4
NFL $10K Slant,Contest,10000.0,9.0,500,39,1307,185.58,sirois81,261.96,Week 4
NFL $10K Touchdown [Single Entry],Contest,10000.0,200.0,2000,1,55,209.9,Blitzburgh,245.8,Week 4
NFL $10K Nickel [3 Entry Max],Contest,10000.0,5.0,1000,3,2378,181.18,CHANTAJE,251.06,Week 4
NFL $10K Nickel [3 Entry Max],Contest,10000.0,5.0,1000,3,2378,183.46,vinokane,247.96,Week 4
NFL $10K Hard Count [3 Entry Max],Contest,10000.0,20.0,1000,3,588,190.88,wioux,247.48,Week 4
NFL $10K Hail Mary,Contest,10000.0,12.0,1000,29,980,188.76,7bushes,247.18,Week 4
NFL $10K Play-Action [$1K to 1st],Contest,10000.0,3.0,1000,20,3963,174.4,kjc3project,261.9,Week 4
NFL $10K First Down [20 Entry Max],Contest,10000.0,1.0,500,20,11890,176.48,swampbugggy,257.26,Week 4
Casual NFL $10K Front Four,Contest,10000.0,4.0,1000,10,2972,181.3,jho_12,243.8,Week 4
NFL $9.25K Power Sweep,Contest,9250.0,150.0,2000,2,68,197.38,gosixersgo76,233.78,Week 4
NFL $1M King of the Beach Qualifier #53,Contest,8597.5,20.0,0,5,505,218.18,randlan,249.48,Week 4
NFL $1M King of the Beach Qualifier #54,Contest,8597.5,20.0,0,5,505,219.3,bjarz,248.88,Week 4
NFL $1M King of the Beach Qualifier #51,Contest,8557.5,4.0,0,5,2543,211.46,fdarbshire,260.18,Week 4
NFL $1M King of the Beach Qualifier #57,Contest,8537.5,100.0,0,3,100,220.88,chess_is_ok,228.36,Week 4
NFL $1M King of the Beach Qualifier #56,Contest,8537.5,100.0,0,3,100,225.08,BSMITTYFIREMAN,240.68,Week 4
NFL $1M King of the Beach Qualifier #55,Contest,8537.5,100.0,0,3,100,225.08,Dapokerninja,235.7,Week 4
NFL $1M King of the Beach Qualifier #52,Contest,8537.5,12.0,0,5,837,212.18,BSMITTYFIREMAN,240.68,Week 4
NFL $1M King of the Beach Qualifier #50,Contest,8517.5,1.0,0,5,10127,211.92,randlan,262.46,Week 4
NFL $5 Double Up,Contest,8000.0,5.0,10,55,1839,188.98,Irvinn95,235.68,Week 4
NFL $50 Double Up,Contest,8000.0,50.0,100,5,181,191.3,gosixersgo76,233.78,Week 4
NFL $10 Double Up,Contest,8000.0,10.0,20,27,919,198.58,vinokane,247.96,Week 4
NFL $7.5K Spy [Single Entry],Contest,7500.0,100.0,1000,1,83,198.08,Magnet4Money,235.68,Week 4
NFL $5 Double Up,Contest,7000.0,5.0,10,48,1609,205.08,lsmith912,255.38,Week 4
NFL $6.9K Touchdown [Single Entry],Contest,6900.0,200.0,2000,1,38,199.6,thewildbuffalo,231.1,Week 4
NFL $6.5K Hot Route [2 Entry Max],Contest,6500.0,100.0,1200,2,72,203.98,gosixersgo76,233.78,Week 4
NFL $6.5K Hot Route [2 Entry Max],Contest,6500.0,100.0,1200,2,72,198.58,gosixersgo76,233.78,Week 4
NFL MEGA Millionaire SUPERSatellite [2x],Contest,6000.0,95.0,0,2,58,229.46,gosixersgo76,233.78,Week 4
NFL Fantasy Football Millionaire SUPERSatellite [300x],Contest,6000.0,5.0,0,42,1426,194.58,rxendaddy,249.16,Week 4
NFL $6K Power Sweep [Single Entry],Contest,6000.0,150.0,1000,1,44,194.86,whiteboy55 | jamesevanshort,225.08,Week 4
NFL $6K Quarter Jukebox [Just $0.25!],Contest,6000.0,0.25,300,20,28537,175.5,kfreds,272.9,Week 4
NFL $6K Chop Block,Contest,6000.0,50.0,1200,4,136,193.96,youdacao,238.3,Week 4
NFL $6K First Down [20 Entry Max],Contest,6000.0,1.0,500,20,7134,179.8,aidanjordan19,248.28,Week 4
"NFL $5,600 FFWC Qualifier Satellite",Contest,5600.0,90.0,0,2,58,225.08,Al_Smizzle,225.08,Week 4
"NFL $5,600 FFWC Qualifier Satellite",Contest,5600.0,565.0,0,1,11,199.58,tomevans111,199.58,Week 4
"NFL $5,425 FFWC MEGAQualifier Satellite",Contest,5425.0,5.0,0,38,1099,258.56,One_Eyed_Guy,258.56,Week 4
"NFL $5,425 FFWC MEGAQualifier Satellite",Contest,5425.0,90.0,0,2,55,228.68,Smoltzjr,228.68,Week 4
NFL $5K Fair Catch [Single Entry],Contest,5000.0,12.0,500,1,490,187.38,italianmamba24,247.18,Week 4
NFL $5K Chop Block [3 Entry Max],Contest,5000.0,50.0,750,3,113,202.7,thewildbuffalo,233.78,Week 4
NFL $50 Single Entry Double Up,Contest,5000.0,50.0,100,1,113,201.68,jnb1998,252.16,Week 4
NFL $50 Single Entry Double Up,Contest,5000.0,50.0,100,1,113,200.3,gosixersgo76,233.78,Week 4
NFL $50 Single Entry Double Up,Contest,5000.0,50.0,100,1,113,199.18,dmckinn2,247.96,Week 4
NFL Single Entry $25 Double Up,Contest,5000.0,25.0,50,1,229,187.08,NRRKMR,242.78,Week 4
NFL Single Entry $10 Double Up,Contest,5000.0,10.0,20,1,574,197.98,vinokane,247.96,Week 4
NFL $25 Double Up,Contest,5000.0,25.0,50,6,229,182.28,rossallison3,237.28,Week 4
NFL $100 Double Up,Contest,5000.0,100.0,200,1,55,213.18,kfalik | Dwadegoat,235.68,Week 4
Casual NFL $5K Gridiron,Contest,5000.0,27.0,500,6,215,184.0,LilBowardWoward,237.08,Week 4
NFL $50K Sunday Special [$5K to 1st] (Sun-Mon),Contest,50000.0,8.0,5000,150,5240,139.9,jmmcghee,218.08,Week 5
NFL $25K Play-Action [20 Entry Max] (Sun-Mon),Contest,25000.0,3.0,1500,20,9595,140.6,Beagz55,209.74,Week 5
NFL $15K Dimeback [Single Entry] (Sun-Mon),Contest,15000.0,6.0,1500,1,2739,141.34,jmmcghee,218.08,Week 5
NFL $12.5K First Down [20 Entry Max] (Sun-Mon),Contest,12500.0,1.0,1000,20,12941,139.5,kacyclark8907,221.2,Week 5
NFL $12K Fair Catch [Single Entry] (Sun-Mon),Contest,12000.0,12.0,1000,1,1025,144.1,jmmcghee,218.08,Week 5
NFL $10K Cover Four [3 Entry Max] (Sun-Mon),Contest,10000.0,4.0,1000,3,2392,140.5,jmmcghee,218.08,Week 5
NFL $5 Double Up (Sun-Mon),Contest,10000.0,5.0,10,68,1897,129.12,mookie86mets,198.72,Week 5
NFL Single Entry $25 Double Up (Sun-Mon),Contest,10000.0,25.0,50,1,419,137.32,tslattcubs,198.32,Week 5
NFL $7.5K Red Zone [Single Entry] (Sun-Mon),Contest,7500.0,50.0,1000,1,146,147.02,DrftKings9456,189.14,Week 5
NFL $7K Bootleg (Sun-Mon),Contest,7000.0,33.0,1250,7,201,146.4,NILKNARF,184.82,Week 5
NFL $10 Double Up (Sun-Mon),Contest,7000.0,10.0,20,24,676,131.8,Satsok16,189.2,Week 5
NFL $6K Spy [Single Entry] (Sun-Mon),Contest,6000.0,100.0,1250,1,66,148.6,chzeatnbears,189.82,Week 5
NFL $6K Quarter Jukebox [Just $0.25!] (Sun-Mon),Contest,6000.0,0.25,300,20,28253,140.0,jhohnke,214.12,Week 5
NFL $25 Double Up (Sun-Mon),Contest,6000.0,25.0,50,8,227,135.52,DeadlyTedly,192.74,Week 5
NFL $100 Double Up (Sun-Mon),Contest,6000.0,100.0,200,1,67,139.5,brainpowermagneto,177.34,Week 5
NFL $50 Double Up (Sun-Mon),Contest,6000.0,50.0,100,4,117,136.94,billionz69,193.1,Week 5
NFL $5.4K Juke [Single Entry] (Sun-Mon),Contest,5400.0,400.0,2500,1,16,157.42,ShipitMahoney,178.42,Week 5
NFL $5K Power Sweep [Single Entry] (Sun-Mon),Contest,5000.0,150.0,1500,1,38,146.72,adamweiss1,179.66,Week 5
NFL $5K Daily Dollar [Single Entry] (Sun-Mon),Contest,5000.0,1.0,250,1,5815,141.52,jmmcghee,218.08,Week 5
NFL $5K Hard Count [3 Entry Max] (Sun-Mon),Contest,5000.0,20.0,1000,3,295,152.5,no1doc,192.52,Week 5
NFL Single Entry $5 Double Up (Sun-Mon),Contest,5000.0,5.0,10,1,1130,135.7,jthiboutot,193.72,Week 5
NFL $3.75M Roman Fantasy Football Millionaire [$1M to 1st],Contest,3750000.0,10.0,1000000,150,421954,156.98,Davematt123,245.9,Week 6
NFL $3M MEGA Millionaire [$1M to 1st],Contest,3000000.0,3000.0,1000000,33,1066,164.32,tangababy,209.8,Week 6
NFL $1M Play-Action [20 Entry Max],Contest,1000000.0,3.0,100000,20,396354,154.32,magiclfeet,251.9,Week 6
NFL $800K Wildcat [$150K to 1st],Contest,800000.0,333.0,150000,80,2670,161.08,loco4lifeese,212.56,Week 6
NFL $750K Bootleg [$100K to 1st],Contest,750000.0,33.0,100000,150,23941,156.72,2good4u2018,232.26,Week 6
"NFL $500K Power Sweep [3 Entry Max, $100K to 1st]",Contest,500000.0,150.0,100000,3,3704,161.74,FriskyyTurlee,225.56,Week 6
NFL $200K Hard Count [5 Entry Max],Contest,200000.0,20.0,25000,5,11765,162.78,doji84,236.5,Week 6
"NFL $200K Spy [Single Entry, $30K to 1st]",Contest,200000.0,100.0,30000,1,2223,163.26,pairfoballs,217.4,Week 6
NFL $200K First Down,Contest,200000.0,1.0,10000,20,237813,153.6,hydrochrondriac,252.0,Week 6
NFL $150K Fair Catch [Single Entry],Contest,150000.0,12.0,15000,1,14706,159.2,gilldafish.wy,225.56,Week 6
NFL $150K Red Zone [Single Entry],Contest,150000.0,50.0,15000,1,3410,162.3,FriskyyTurlee,225.56,Week 6
NFL MASSIVE $25 Double Up,Contest,150000.0,25.0,50,150,6897,159.8,Gooman09,213.0,Week 6
NFL $150K Nickel [3 Entry Max],Contest,150000.0,5.0,20000,3,35672,156.76,blitzology,259.06,Week 6
NFL MASSIVE $25 Double Up [Single Entry],Contest,150000.0,25.0,50,1,6897,155.7,gilldafish.wy,225.56,Week 6
NFL $142K Luxury Box,Contest,142000.0,1500.0,25000,3,101,168.36,paulbertini,197.2,Week 6
NFL $142K Luxury Box,Contest,142000.0,1500.0,25000,3,100,78.78,ARaven52,102.48,Week 6
$10M Fantasy Football World Championship Double Qualifier #60-61,Contest,129222.2,500.0,1000,9,268,177.16,EmpireMaker2,194.2,Week 6
NFL MASSIVE $50 Double Up [Single Entry],Contest,100000.0,50.0,100,1,2272,71.08,KillaTDs,120.78,Week 6
NFL MASSIVE $50 Double Up [Single Entry],Contest,100000.0,50.0,100,1,2273,157.4,dmmartin20,221.7,Week 6
NFL $100K Pylon [Single Entry],Contest,100000.0,3.0,10000,1,39636,155.58,tomjenna1,239.36,Week 6
NFL $100K Pylon [Single Entry],Contest,100000.0,3.0,10000,1,39635,77.28,paviking28,141.36,Week 6
NFL $100K Juke [3 Entry Max],Contest,100000.0,400.0,20000,3,278,163.9,JumpaHoo,197.2,Week 6
NFL $100K Thunderdome [Single Entry],Contest,100000.0,5300.0,40000,1,21,165.1,EmpireMaker2,194.2,Week 6
NFL MASSIVE $100 Double Up [Single Entry],Contest,100000.0,100.0,200,1,1112,158.1,dmmartin20,221.7,Week 6
NFL $100K Slant,Contest,100000.0,9.0,10000,150,13072,158.82,tomjenna1,239.36,Week 6
"NFL $100K Spy [Single Entry, $10K to 1st]",Contest,100000.0,100.0,10000,1,1112,162.62,pairfoballs,217.4,Week 6
NFL $100K Flea Flicker [$10K to 1st],Contest,100000.0,5.0,10000,150,23782,157.16,cremmitt,242.3,Week 6
"NFL $100K Super Booster [Top 100 Win $1,000]",Contest,100000.0,27.0,1000,129,4259,187.26,nita0311,229.4,Week 6
NFL MASSIVE $5 Double Up,Contest,100000.0,5.0,10,150,22989,159.8,abutla,221.9,Week 6
NFL MASSIVE $5 Double Up,Contest,100000.0,5.0,10,150,22989,160.5,lolak1870,213.2,Week 6
NFL GIANT $10 Double Up [Single Entry],Contest,75000.0,10.0,20,1,8621,155.5,gilldafish.wy,225.56,Week 6
NFL GIANT $250 Double Up [Single Entry],Contest,75000.0,250.0,500,1,334,158.2,Olsen319,209.76,Week 6
NFL $75K Play-Action [$10K to 1st],Contest,75000.0,3.0,10000,20,29727,155.56,cacosta072,235.9,Week 6
NFL $75K Engage Eight [3 Entry Max],Contest,75000.0,8.0,7500,3,11030,157.86,gilldafish.wy | mrsfriskyy,225.56,Week 6
NFL GIANT $10 Double Up,Contest,75000.0,10.0,20,150,8621,161.1,Ripple13,219.5,Week 6
$10M Fantasy Football World Championship Qualifier #55,Contest,70096.1,5.0,1000,150,16095,175.46,Wright4bucks,232.3,Week 6
$10M Fantasy Football World Championship Qualifier #56,Contest,68991.1,16.0,1000,150,4109,172.08,TinkyTyler,223.26,Week 6
$10M Fantasy Football World Championship Qualifier #56,Contest,68991.1,16.0,1000,150,4108,42.24,SportsDD,66.4,Week 6
$10M Fantasy Football World Championship Qualifier #57,Contest,68961.1,33.0,1000,73,2035,172.8,cubsfan333,214.4,Week 6
$10M Fantasy Football World Championship Qualifier #57,Contest,68961.1,33.0,1000,73,2034,43.1,SportsDD,66.4,Week 6
$10M Fantasy Football World Championship Qualifier #59,Contest,68111.1,150.0,1000,16,495,178.38,totoroll33,204.4,Week 6
$10M Fantasy Football World Championship Qualifier #59,Contest,68111.1,150.0,1000,16,494,44.68,CoachS111,58.0,Week 6
$10M Fantasy Football World Championship Qualifier #58,Contest,67661.1,50.0,1000,47,1261,174.78,Lepper,213.4,Week 6
$10M Fantasy Football World Championship Qualifier #62,Contest,65311.1,1100.0,1000,2,69,195.4,PatthePat,198.0,Week 6
$10M Fantasy Football World Championship Qualifier #64,Contest,62611.1,7250.0,1000,1,8,61.8,nolesman,61.8,Week 6
$10M Fantasy Football World Championship Qualifier #63,Contest,62611.1,5600.0,1000,1,12,194.2,EmpireMaker2,194.2,Week 6
NFL $51K Wildcat [$10K to 1st],Contest,51000.0,333.0,10000,5,171,152.9,Tigerswin14,213.6,Week 6
NFL $50K Game Changer [Single Entry],Contest,50000.0,1060.0,15000,1,51,175.16,changsveeshuskies | EmpireMaker2,194.2,Week 6
NFL $50K Quarter Jukebox [Just $0.25!],Contest,50000.0,0.25,2000,20,237813,154.18,Maro11,250.44,Week 6
NFL $50K Quarter Jukebox [Just $0.25!],Contest,50000.0,0.25,2000,20,237812,36.72,m4ch1n3m4n,77.6,Week 6
NFL GIANT $50 Double Up,Contest,50000.0,50.0,100,34,1137,160.5,SHADYTWOLF,215.96,Week 6
NFL GIANT $25 Double Up,Contest,50000.0,25.0,50,68,2299,160.7,damark1,217.16,Week 6
NFL GIANT $5 Double Up [Single Entry],Contest,50000.0,5.0,10,1,11495,153.5,gilldafish.wy,225.56,Week 6
NFL GIANT $5 Double Up [Single Entry],Contest,50000.0,5.0,10,1,11494,35.0,SuperKaner88,71.4,Week 6
NFL $50K Mini-MAX [150 Max Entry],Contest,50000.0,0.5,5000,150,118907,158.2,knorlin,247.06,Week 6
NFL $50K Mini-MAX [150 Max Entry],Contest,50000.0,0.5,5000,150,118906,38.9,fritzruby1 | theangelking,76.1,Week 6
"NFL GIANT $1,060 50-50",Contest,50000.0,1060.0,2000,1,51,154.9,ModeloColombianas,205.8,Week 6
NFL GIANT $25 Double Up [Single Entry],Contest,50000.0,25.0,50,1,2299,158.36,dmmartin20,221.7,Week 6
NFL $40K Power Sweep [3 Entry Max],Contest,40000.0,150.0,6000,3,297,160.1,clippers89,195.3,Week 6
NFL GIANT $100 Double Up,Contest,35000.0,100.0,200,11,389,155.3,reshi | saulgoodman23 | saulgoodman23 | Meth,200.7,Week 6
NFL GIANT $530 50-50,Contest,35000.0,530.0,1000,2,71,158.2,PatthePat | PatthePat,198.0,Week 6
NFL GIANT $2 Double Up,Contest,35000.0,2.0,4,20,20115,156.7,jgobble4754,228.34,Week 6
NFL $30K Touchdown,Contest,30100.0,200.0,7500,5,168,164.06,motrboat,204.6,Week 6
NFL $30K Spin Move [Single Entry],Contest,30000.0,300.0,5000,1,112,172.58,paulbertini | jonjonlegend,197.2,Week 6
NFL $30K Hail Mary,Contest,30000.0,12.0,3000,88,2942,156.26,hhyy93,211.7,Week 6
NFL $30K Chop Block [$5K to 1st],Contest,30000.0,50.0,5000,20,682,159.98,Rags11FSU,207.2,Week 6
NFL $30K Stiff Arm [Single Entry],Contest,30000.0,555.0,7500,1,61,165.08,EmpireMaker2,194.2,Week 6
NFL $30K Super Booster [Top 300 Win $100],Contest,30000.0,4.0,100,20,8824,183.5,TinkyTyler,223.26,Week 6
"NFL GIANT $1,060 50-50",Contest,30000.0,1060.0,2000,1,31,151.5,EmpireMaker2,194.2,Week 6
NFL GIANT $250 Double Up,Contest,25000.0,250.0,500,3,112,158.5,saulgoodman23,200.7,Week 6
NFL GIANT $250 Double Up [Single Entry],Contest,25000.0,250.0,500,1,112,155.3,Olsen319,209.76,Week 6
NFL GIANT $100 Double Up [Single Entry],Contest,25000.0,100.0,200,1,278,157.38,ezio040,220.46,Week 6
NFL GIANT $50 Double Up [Single Entry],Contest,25000.0,50.0,100,1,569,158.5,Olsen319,209.76,Week 6
NFL $25K Hot Route [$5K to 1st],Contest,25000.0,100.0,5000,8,278,161.56,sjeremy20,196.3,Week 6
NFL $25K Singleback [3 Entry Max],Contest,25000.0,1.0,1500,3,29727,156.76,tomjenna1,239.36,Week 6
NFL GIANT $10 Double Up,Contest,25000.0,10.0,20,86,2874,160.7,Taker1977,206.7,Week 6
NFL GIANT $10 Double Up [Single Entry],Contest,25000.0,10.0,20,1,2874,158.5,gilldafish.wy,225.56,Week 6
NFL GIANT $5 Double Up [Single Entry],Contest,25000.0,5.0,10,1,5748,156.7,gilldafish.wy,225.56,Week 6
NFL $21K Wildcat [$5K to 1st],Contest,21000.0,333.0,5000,2,71,168.2,saulgoodman23,200.7,Week 6
NFL $20K Mini-MAX [150 Max Entry],Contest,20000.0,0.5,1500,150,47563,159.38,cacosta072,239.5,Week 6
NFL $20K Safety,Contest,20000.0,2.0,2000,20,11891,157.46,1upOnYouBruh,228.4,Week 6
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,690,155.3,along23,208.0,Week 6
NFL $15K First Down,Contest,15000.0,1.0,750,20,17836,153.9,JHARDESTY1977 | j102483,224.5,Week 6
NFL $15K Hot Route,Contest,15000.0,100.0,2500,4,167,160.96,cpayson,210.16,Week 6
NFL $15K Daily Dollar [Single Entry],Contest,15000.0,1.0,750,1,17836,156.8,gr3yhound75,220.0,Week 6
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,690,156.2,shah634,212.3,Week 6
NFL $15K Fair Catch [Single Entry],Contest,15000.0,12.0,1500,1,1471,156.68,eurso15,210.1,Week 6
NFL Single Entry $25 Double Up,Contest,14000.0,25.0,50,1,644,153.0,D1r2g1,217.7,Week 6
Sports Betting National Championship Qualifier [$1M to 1st],Contest,13000.0,16.0,0,28,648,181.36,cubsfan333,214.4,Week 6
Sports Betting National Championship Qualifier [$1M to 1st],Contest,13000.0,5.0,0,92,2073,176.26,cubsfan333,214.4,Week 6
Sports Betting National Championship Qualifier [$1M to 1st],Contest,13000.0,50.0,0,9,197,171.9,BillySwansong,204.6,Week 6
Sports Betting National Championship Qualifier [$1M to 1st],Contest,12850.0,225.0,0,2,49,177.98,h3budda,190.2,Week 6
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2299,150.5,Tasty_Pirate,214.7,Week 6
NFL $10K Play-Action [$1K to 1st],Contest,10000.0,3.0,1000,20,3964,155.66,ajmdcf10,215.46,Week 6
NFL $10K Game Changer [Single Entry],Contest,10000.0,1060.0,5000,1,11,165.1,scherersays,181.14,Week 6
NFL $10K Flea Flicker [$2K to 1st],Contest,10000.0,5.0,2000,71,2379,156.2,MSull321,211.84,Week 6
NFL $10K Spy [Single Entry],Contest,10000.0,100.0,1500,1,112,159.3,Johnnyp135,207.6,Week 6
NFL $25 Double Up,Contest,10000.0,25.0,50,13,460,154.9,DraftMasterFlex | DraftMasterFlex,205.3,Week 6
NFL $10K Fair Catch [Single Entry],Contest,10000.0,12.0,1000,1,981,156.98,MLBRays,216.1,Week 6
Casual NFL $10K Front Four,Contest,10000.0,4.0,1000,10,2973,157.64,Bigtimeballer1988,230.92,Week 6
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2299,150.86,jw00573,216.94,Week 6
NFL BIG 10x Booster [Top 500 Win $20],Contest,10000.0,2.0,20,20,5883,174.4,Oldsy,214.7,Week 6
NFL $10K Play-Action [$1K to 1st],Contest,10000.0,3.0,1000,20,3964,152.76,FullMoonws,229.16,Week 6
NFL $10K Chop Block,Contest,10000.0,50.0,1000,6,228,157.02,saulgoodman23,200.7,Week 6
NFL Fantasy Football Millionaire SUPERSatellite [500x],Contest,10000.0,1.0,0,20,11891,178.06,jhann12,239.46,Week 6
NFL Single Entry $2 Double Up,Contest,10000.0,2.0,4,1,5748,155.2,kdeforest11,224.5,Week 6
NFL $1M King of the Beach Qualifier #85,Contest,8597.5,20.0,0,5,450,176.8,totoroll33,204.4,Week 6
NFL $1M King of the Beach Qualifier #84,Contest,8597.5,20.0,0,5,466,177.96,pimplepoppermd,210.2,Week 6
NFL $1M King of the Beach Qualifier #82,Contest,8557.5,4.0,0,5,1924,178.4,seanmike815,231.2,Week 6
NFL $1M King of the Beach Qualifier #86,Contest,8537.5,100.0,0,3,101,178.46,tombradyisgray,188.86,Week 6
NFL $1M King of the Beach Qualifier #88,Contest,8537.5,100.0,0,3,93,184.7,ToeTagginTambo,199.0,Week 6
NFL $1M King of the Beach Qualifier #87,Contest,8537.5,100.0,0,3,93,180.6,Bales,201.66,Week 6
NFL $1M King of the Beach Qualifier #89,Contest,8537.5,100.0,0,3,95,175.9,ericz116,190.9,Week 6
NFL $1M King of the Beach Qualifier #83,Contest,8537.5,12.0,0,5,755,177.4,easyea123,207.6,Week 6
NFL $1M King of the Beach Qualifier #81,Contest,8517.5,1.0,0,5,6183,177.64,jhann12,239.46,Week 6
NFL $5 Double Up,Contest,8000.0,5.0,10,55,1840,154.9,jw00573,262.3,Week 6
NFL $7.5K Red Zone [Single Entry],Contest,7500.0,50.0,1000,1,171,165.3,jjordan223,219.3,Week 6
NFL $6.9K Touchdown [Single Entry],Contest,6900.0,200.0,2000,1,39,168.8,pairfoballs,217.4,Week 6
NFL $6.9K Touchdown [Single Entry],Contest,6900.0,200.0,2000,1,39,163.6,h5ojes79,197.2,Week 6
NFL Single Entry $5 Double Up,Contest,6000.0,5.0,10,1,1380,149.5,along23,208.0,Week 6
NFL $100 Double Up,Contest,6000.0,100.0,200,1,67,155.5,JacobBoney,206.46,Week 6
NFL Fantasy Football Millionaire SUPERSatellite [300x],Contest,6000.0,5.0,0,42,1246,162.8,MackAttack62,220.14,Week 6
"NFL $5,600 FFWC Qualifier Satellite",Contest,5600.0,565.0,0,1,12,198.0,PatthePat,198.0,Week 6
"NFL $5,425 FFWC MEGAQualifier Satellite",Contest,5425.0,600.0,0,1,11,190.06,mrgoodseats,190.06,Week 6
"NFL $5,425 FFWC MEGAQualifier Satellite",Contest,5425.0,90.0,0,2,58,202.4,goforit1018,202.4,Week 6
"NFL $5,425 FFWC MEGAQualifier Satellite",Contest,5425.0,5.0,0,38,875,214.4,cubsfan333,214.4,Week 6
NFL $5.4K Juke [Single Entry],Contest,5400.0,400.0,2500,1,16,165.1,mrgoodseats,190.06,Week 6
NFL Single Entry $50 Double Up,Contest,5000.0,50.0,100,1,114,158.5,Tanger3,204.6,Week 6
NFL Single Entry $50 Double Up,Contest,5000.0,50.0,100,1,114,158.5,saulgoodman23 | reshi,200.7,Week 6
NFL $5K First Down [20 Entry Max],Contest,5000.0,1.0,250,20,5946,155.74,jhann12,239.46,Week 6
NFL Single Entry $50 Double Up,Contest,5000.0,50.0,100,1,114,156.0,ShootskiGlockski9,211.36,Week 6
NFL $5K Spy [Single Entry],Contest,5000.0,100.0,1100,1,56,168.74,smonger19,207.66,Week 6
NFL $25 Double Up,Contest,5000.0,25.0,50,6,230,155.6,saulgoodman23 | saulgoodman23 | reshi | saulgoodman23 | saulgoodman23 | reshi,200.7,Week 6
