player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Josh Adams,RB,22.002,2018-10-28,NFL,PHI,@,JAX,W 24-18,8,8,Sun,1,1,6,6.00,0,100.0%,6.00
JuJu Smith-Schuster,WR,21.340,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,6,4,33,8.25,0,66.7%,5.50
Stevan Ridley,RB,29.274,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,2,2,13,6.50,0,100.0%,6.50
Vance McDonald,TE,28.137,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,3,3,47,15.67,0,100.0%,15.67
Jesse James,TE,24.146,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,3,2,9,4.50,0,66.7%,3.00
Justin Hunter,WR,27.161,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,4,2,15,7.50,0,50.0%,3.75
James Conner,RB,23.176,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,6,5,66,13.20,0,83.3%,11.00
Antonio Brown,WR,30.110,2018-10-28,NFL,PIT,,CLE,W 33-18,7,8,Sun,8,6,74,12.33,2,75.0%,9.25
Nick Vannett,TE,25.236,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,3,1,16,16.00,0,33.3%,5.33
David Moore,WR,23.286,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,4,4,97,24.25,1,100.0%,24.25
Tyler Lockett,WR,26.030,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,2,2,34,17.00,1,100.0%,17.00
Ed Dickson,TE,31.095,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,2,2,54,27.00,1,100.0%,27.00
Mike Davis,RB,25.251,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,1,1,2,2.00,0,100.0%,2.00
Chris Carson,RB,24.042,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,2,2,19,9.50,0,100.0%,9.50
Doug Baldwin,WR,30.037,2018-10-28,NFL,SEA,@,DET,W 28-14,7,8,Sun,3,2,26,13.00,0,66.7%,8.67
Trent Taylor,WR,24.181,2018-10-28,NFL,SFO,@,ARI,L 15-18,8,8,Sun,2,1,7,7.00,0,50.0%,3.50
George Kittle,TE,25.019,2018-10-28,NFL,SFO,@,ARI,L 15-18,8,8,Sun,8,5,57,11.40,0,62.5%,7.13
Marquise Goodwin,WR,27.343,2018-10-28,NFL,SFO,@,ARI,L 15-18,8,8,Sun,4,1,55,55.00,1,25.0%,13.75
Kendrick Bourne,WR,23.085,2018-10-28,NFL,SFO,@,ARI,L 15-18,8,8,Sun,10,7,71,10.14,0,70.0%,7.10
Justin Watson,WR,23.207,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,1,1,5,5.00,0,100.0%,5.00
Jacquizz Rodgers,RB,28.264,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,4,4,25,6.25,0,100.0%,6.25
Ronald Jones,RB,21.086,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,1,1,4,4.00,0,100.0%,4.00
DeSean Jackson,WR,31.331,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,8,3,68,22.67,1,37.5%,8.50
Adam Humphries,WR,25.126,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,10,7,76,10.86,0,70.0%,7.60
O.J. Howard,TE,23.343,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,4,4,68,17.00,1,100.0%,17.00
Chris Godwin,WR,22.243,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,7,2,32,16.00,0,28.6%,4.57
Mike Evans,WR,25.068,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,13,6,179,29.83,1,46.2%,13.77
Cameron Brate,TE,27.117,2018-10-28,NFL,TAM,@,CIN,L 34-37,7,8,Sun,2,1,13,13.00,0,50.0%,6.50
Chris Thompson,RB,28.008,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,3,2,9,4.50,0,66.7%,3.00
Paul Richardson,WR,26.198,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,5,2,34,17.00,0,40.0%,6.80
Jordan Reed,TE,28.117,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,12,7,38,5.43,0,58.3%,3.17
Adrian Peterson,RB,33.221,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,1,1,7,7.00,1,100.0%,7.00
Maurice Harris,WR,25.351,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,2,2,20,10.00,0,100.0%,10.00
Josh Doctson,WR,25.329,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,5,5,49,9.80,0,100.0%,9.80
Vernon Davis,TE,34.270,2018-10-28,NFL,WAS,@,NYG,W 20-13,7,8,Sun,3,1,21,21.00,0,33.3%,7.00
Ito Smith,RB,23.054,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,2,1,4,4.00,0,50.0%,2.00
Mohamed Sanu,WR,29.074,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,5,4,45,11.25,0,80.0%,9.00
Calvin Ridley,WR,23.319,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,9,6,71,11.83,1,66.7%,7.89
Julio Jones,WR,29.269,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,10,7,121,17.29,1,70.0%,12.10
Austin Hooper,TE,24.000,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,3,3,41,13.67,0,100.0%,13.67
Tevin Coleman,RB,25.202,2018-11-04,NFL,ATL,@,WAS,W 38-14,8,9,Sun,7,5,68,13.60,2,71.4%,9.71
Logan Thomas,TE,27.126,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,8,7,40,5.71,0,87.5%,5.00
Terrelle Pryor,WR,29.137,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,5,2,17,8.50,0,40.0%,3.40
Marcus Murphy,RB,27.239,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,3,-7,-2.33,0,75.0%,-1.75
LeSean McCoy,RB,30.115,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,4,19,4.75,0,100.0%,4.75
Zay Jones,WR,23.219,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,6,4,18,4.50,0,66.7%,3.00
Chris Ivory,RB,30.227,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,4,3,19,6.33,0,75.0%,4.75
Andre Holmes,WR,30.141,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,1,1,6,6.00,0,100.0%,6.00
Jason Croom,TE,24.249,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,5,3,36,12.00,0,60.0%,7.20
Kelvin Benjamin,WR,27.272,2018-11-04,NFL,BUF,,CHI,L 9-41,9,9,Sun,9,4,40,10.00,0,44.4%,4.44
Jarius Wright,WR,28.344,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,1,1,8,8.00,0,100.0%,8.00
Curtis Samuel,WR,22.085,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,4,2,25,12.50,1,50.0%,6.25
Greg Olsen,TE,33.238,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,6,6,76,12.67,1,100.0%,12.67
D.J. Moore,WR,21.204,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,2,1,16,16.00,0,50.0%,8.00
Christian McCaffrey,RB,22.150,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,6,5,78,15.60,0,83.3%,13.00
Devin Funchess,WR,24.167,2018-11-04,NFL,CAR,,TAM,W 42-28,8,9,Sun,5,4,44,11.00,0,80.0%,8.80
Taquan Mizzell,RB,25.014,2018-11-04,NFL,CHI,@,BUF,W 41-9,8,9,Sun,2,1,5,5.00,0,50.0%,2.50
Anthony Miller,WR,24.026,2018-11-04,NFL,CHI,@,BUF,W 41-9,8,9,Sun,6,5,49,9.80,0,83.3%,8.17
Taylor Gabriel,WR,27.260,2018-11-04,NFL,CHI,@,BUF,W 41-9,8,9,Sun,5,3,45,15.00,0,60.0%,9.00
Tarik Cohen,RB,23.101,2018-11-04,NFL,CHI,@,BUF,W 41-9,8,9,Sun,2,1,8,8.00,0,50.0%,4.00
Trey Burton,TE,27.006,2018-11-04,NFL,CHI,@,BUF,W 41-9,8,9,Sun,3,2,28,14.00,1,66.7%,9.33
Damion Ratley,WR,23.202,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,4,2,16,8.00,0,50.0%,4.00
Breshad Perriman,WR,25.055,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,6,2,36,18.00,0,33.3%,6.00
David Njoku,TE,22.117,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,5,4,53,13.25,0,80.0%,10.60
Jarvis Landry,WR,25.341,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,7,6,50,8.33,0,85.7%,7.14
Duke Johnson,RB,25.042,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,9,9,78,8.67,2,100.0%,8.67
Rashard Higgins,WR,24.028,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,4,3,19,6.33,0,75.0%,4.75
Nick Chubb,RB,22.312,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,1,1,5,5.00,0,100.0%,5.00
Antonio Callaway,WR,21.299,2018-11-04,NFL,CLE,,KAN,L 21-37,9,9,Sun,5,3,51,17.00,0,60.0%,10.20
Deonte Thompson,WR,29.264,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,2,21,10.50,0,100.0%,10.50
Rod Smith,RB,26.299,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,1,8,8.00,0,50.0%,4.00
Blake Jarwin,TE,24.112,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,2,2,15,7.50,0,100.0%,7.50
Allen Hurns,WR,26.358,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,1,1,23,23.00,1,100.0%,23.00
Michael Gallup,WR,22.215,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,6,3,51,17.00,0,50.0%,8.50
Ezekiel Elliott,RB,23.106,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,5,4,51,12.75,0,80.0%,10.20
Amari Cooper,WR,24.141,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,8,5,58,11.60,1,62.5%,7.25
Cole Beasley,WR,29.193,2018-11-05,NFL,DAL,,TEN,L 14-28,8,9,Mon,4,3,16,5.33,0,75.0%,4.00
Courtland Sutton,WR,23.025,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,5,3,57,19.00,0,60.0%,11.40
Emmanuel Sanders,WR,31.232,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,9,6,47,7.83,0,66.7%,5.22
Tim Patrick,WR,24.346,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,4,1,17,17.00,0,25.0%,4.25
Phillip Lindsay,RB,24.103,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,3,2,24,12.00,0,66.7%,8.00
Matt LaCosse,TE,26.044,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,1,1,44,44.00,0,100.0%,44.00
Andy Janovich,FB,25.165,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,1,1,9,9.00,0,100.0%,9.00
Jeff Heuerman,TE,25.345,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,11,10,83,8.30,1,90.9%,7.55
Devontae Booker,RB,26.161,2018-11-04,NFL,DEN,,HOU,L 17-19,9,9,Sun,4,2,9,4.50,0,50.0%,2.25
Luke Willson,TE,28.293,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,2,2,17,8.50,0,100.0%,8.50
Michael Roberts,TE,24.181,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,4,1,12,12.00,0,25.0%,3.00
Theo Riddick,WR,27.184,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,8,7,36,5.14,0,87.5%,4.50
T.J. Jones,WR,26.108,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,2,2,13,6.50,0,100.0%,6.50
Marvin Jones,WR,28.237,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,8,6,66,11.00,0,75.0%,8.25
Kerryon Johnson,RB,21.127,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,5,3,7,2.33,0,60.0%,1.40
Kenny Golladay,WR,25.001,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,4,3,46,15.33,0,75.0%,11.50
LeGarrette Blount,RB,31.334,2018-11-04,NFL,DET,@,MIN,L 9-24,8,9,Sun,1,1,2,2.00,0,100.0%,2.00
Jamaal Williams,RB,23.215,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,2,2,20,10.00,0,100.0%,10.00
Marquez Valdes-Scantling,WR,24.025,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,6,3,101,33.67,0,50.0%,16.83
Equanimeous St. Brown,WR,22.035,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,4,1,4,4.00,0,25.0%,1.00
Marcedes Lewis,TE,34.169,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,1,1,5,5.00,0,100.0%,5.00
Aaron Jones,RB,23.337,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,4,2,10,5.00,0,50.0%,2.50
Jimmy Graham,TE,31.345,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,6,4,55,13.75,1,66.7%,9.17
Randall Cobb,WR,28.074,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,6,5,24,4.80,0,83.3%,4.00
Davante Adams,WR,25.315,2018-11-04,NFL,GNB,@,NWE,L 17-31,8,9,Sun,9,6,40,6.67,1,66.7%,4.44
Sammy Watkins,WR,25.143,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,5,62,12.40,0,100.0%,12.40
Spencer Ware,RB,26.346,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,4,69,17.25,0,80.0%,13.80
Demarcus Robinson,WR,24.044,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,3,3.00,0,50.0%,1.50
Travis Kelce,TE,29.030,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,9,7,99,14.14,2,77.8%,11.00
Kareem Hunt,RB,23.090,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,50,50.00,1,50.0%,25.00
Tyreek Hill,WR,24.248,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,5,4,69,17.25,0,80.0%,13.80
Chris Conley,WR,26.010,2018-11-04,NFL,KAN,@,CLE,W 37-21,9,9,Sun,2,1,23,23.00,0,50.0%,11.50
Kenny Stills,WR,26.196,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,1,1,19,19.00,0,100.0%,19.00
DeVante Parker,WR,25.288,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,1,8,8.00,0,50.0%,4.00
Jakeem Grant,WR,26.035,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,1,16,16.00,0,50.0%,8.00
Frank Gore,RB,35.174,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,1,1,6,6.00,0,100.0%,6.00
Kenyan Drake,RB,24.282,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,6,4,26,6.50,0,66.7%,4.33
Kalen Ballage,RB,22.317,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,2,2,17,8.50,0,100.0%,8.50
Danny Amendola,WR,33.002,2018-11-04,NFL,MIA,,NYJ,W 13-6,9,9,Sun,7,5,47,9.40,0,71.4%,6.71
Laquon Treadwell,WR,23.143,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,2,2,37,18.50,0,100.0%,18.50
Adam Thielen,WR,28.074,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,7,4,22,5.50,1,57.1%,3.14
Kyle Rudolph,TE,28.360,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,2,2,28,14.00,0,100.0%,14.00
Aldrick Robinson,WR,30.041,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,3,2,20,10.00,0,66.7%,6.67
Latavius Murray,RB,28.290,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,1,1,16,16.00,0,100.0%,16.00
Dalvin Cook,RB,23.086,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,4,4,20,5.00,0,100.0%,5.00
Chad Beebe,WR,24.156,2018-11-04,NFL,MIN,,DET,W 24-9,9,9,Sun,3,3,21,7.00,0,100.0%,7.00
Ben Watson,TE,37.321,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,4,3,62,20.67,1,75.0%,15.50
Michael Thomas,WR,25.246,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,15,12,211,17.58,1,80.0%,14.07
Tre'Quan Smith,WR,22.301,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,3,2,23,11.50,1,66.7%,7.67
Zach Line,FB,28.162,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,1,1,3,3.00,0,100.0%,3.00
Alvin Kamara,RB,23.102,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,5,4,34,8.50,1,80.0%,6.80
Mark Ingram,RB,28.318,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,2,1,3,3.00,0,50.0%,1.50
Josh Hill,TE,28.167,2018-11-04,NFL,NOR,,LAR,W 45-35,8,9,Sun,4,2,10,5.00,0,50.0%,2.50
James White,RB,26.274,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,7,6,72,12.00,0,85.7%,10.29
Cordarrelle Patterson,WR,27.232,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,1,1,7,7.00,0,100.0%,7.00
Josh Gordon,WR,27.205,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,9,5,130,26.00,1,55.6%,14.44
Julian Edelman,WR,32.166,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,10,6,71,11.83,0,60.0%,7.10
Phillip Dorsett,WR,25.303,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,3,3,30,10.00,0,100.0%,10.00
James Develin,FB,30.104,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,2,1,0,0.00,0,50.0%,0.00
Dwayne Allen,TE,28.253,2018-11-04,NFL,NWE,,GNB,W 31-17,9,9,Sun,1,1,21,21.00,0,100.0%,21.00
Eric Tomlinson,TE,26.196,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,6,6.00,0,50.0%,3.00
Elijah McGuire,RB,24.156,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,5,3,37,12.33,0,60.0%,7.40
Jordan Leggett,TE,23.277,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,6,6.00,0,50.0%,3.00
Jermaine Kearse,WR,28.271,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,9,3,20,6.67,0,33.3%,2.22
Chris Herndon,TE,22.254,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,4,4,62,15.50,0,100.0%,15.50
Quincy Enunwa,WR,26.157,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,4,3,40,13.33,0,75.0%,10.00
Isaiah Crowell,RB,25.300,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,2,1,11,11.00,0,50.0%,5.50
Trenton Cannon,RB,24.104,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,1,1,15,15.00,0,100.0%,15.00
Robby Anderson,WR,25.179,2018-11-04,NFL,NYJ,@,MIA,L 6-13,9,9,Sun,7,4,32,8.00,0,57.1%,4.57
James Washington,WR,22.216,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,5,2,17,8.50,0,40.0%,3.40
Ryan Switzer,WR,24.000,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,4,3,21,7.00,0,75.0%,5.25
JuJu Smith-Schuster,WR,21.347,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,9,7,78,11.14,0,77.8%,8.67
Vance McDonald,TE,28.144,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,6,3,25,8.33,0,50.0%,4.17
Jesse James,TE,24.153,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,3,2,53,26.50,0,66.7%,17.67
James Conner,RB,23.183,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,9,7,56,8.00,1,77.8%,6.22
Antonio Brown,WR,30.117,2018-11-04,NFL,PIT,@,BAL,W 23-16,8,9,Sun,10,5,42,8.40,1,50.0%,4.20
Nick Vannett,TE,25.243,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,8,6,52,8.67,1,75.0%,6.50
Rashaad Penny,RB,22.275,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,3,3,13,4.33,0,100.0%,4.33
David Moore,WR,23.293,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,7,2,16,8.00,0,28.6%,2.29
Tyler Lockett,WR,26.037,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,4,3,22,7.33,0,75.0%,5.50
Mike Davis,RB,25.258,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,8,7,45,6.43,0,87.5%,5.63
Jaron Brown,WR,28.300,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,2,1,10,10.00,1,50.0%,5.00
Doug Baldwin,WR,30.044,2018-11-04,NFL,SEA,,LAC,L 17-25,8,9,Sun,4,4,77,19.25,0,100.0%,19.25
George Kittle,TE,25.023,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,4,4,108,27.00,1,100.0%,27.00
Kyle Juszczyk,FB,27.192,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,2,2,10,5.00,0,100.0%,5.00
Richie James,WR,23.057,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,3,2,60,30.00,0,66.7%,20.00
Marquise Goodwin,WR,27.347,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,4,1,11,11.00,0,25.0%,2.75
Pierre Garcon,WR,32.085,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,5,3,56,18.67,1,60.0%,11.20
Ross Dwelley,TE,23.279,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,1,1,8,8.00,0,100.0%,8.00
Matt Breida,RB,23.246,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,1,1,3,3.00,0,100.0%,3.00
Kendrick Bourne,WR,23.089,2018-11-01,NFL,SFO,,OAK,W 34-3,9,9,Thu,2,2,6,3.00,1,100.0%,3.00
Jacquizz Rodgers,RB,28.271,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,-4,-2.00,0,66.7%,-1.33
DeSean Jackson,WR,31.338,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,4,2,32,16.00,0,50.0%,8.00
Adam Humphries,WR,25.133,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,8,8,82,10.25,2,100.0%,10.25
O.J. Howard,TE,23.350,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,6,4,53,13.25,2,66.7%,8.83
Chris Godwin,WR,22.250,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,40,20.00,0,66.7%,13.33
Mike Evans,WR,25.075,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,10,1,16,16.00,0,10.0%,1.60
Cameron Brate,TE,27.124,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,3,15,5.00,0,100.0%,5.00
Peyton Barber,RB,24.250,2018-11-04,NFL,TAM,@,CAR,L 28-42,8,9,Sun,3,2,9,4.50,0,66.7%,3.00
Paul Richardson,WR,26.205,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,2,16,8.00,0,33.3%,2.67
Jordan Reed,TE,28.124,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,4,34,8.50,0,66.7%,5.67
Adrian Peterson,RB,33.228,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,3,3,16,5.33,0,100.0%,5.33
Samaje Perine,RB,23.049,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,3,2,8,4.00,0,66.7%,2.67
Maurice Harris,WR,25.358,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,12,10,124,12.40,0,83.3%,10.33
Josh Doctson,WR,25.336,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,6,3,31,10.33,1,50.0%,5.17
Vernon Davis,TE,34.277,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,7,5,62,12.40,0,71.4%,8.86
Kapri Bibbs,RB,25.298,2018-11-04,NFL,WAS,,ATL,L 14-38,8,9,Sun,1,1,15,15.00,0,100.0%,15.00
Ito Smith,RB,23.061,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,5,4,15,3.75,0,80.0%,3.00
Eric Saubert,TE,24.194,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,2,1,17,17.00,0,50.0%,8.50
Mohamed Sanu,WR,29.081,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,8,6,47,7.83,0,75.0%,5.88
Calvin Ridley,WR,23.326,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,5,3,37,12.33,0,60.0%,7.40
Logan Paulsen,TE,31.258,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,2,2,13,6.50,0,100.0%,6.50
Julio Jones,WR,29.276,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,11,7,107,15.29,1,63.6%,9.73
Austin Hooper,TE,24.007,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,11,10,56,5.60,1,90.9%,5.09
Justin Hardy,WR,26.328,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,1,1,7,7.00,0,100.0%,7.00
Marvin Hall,WR,25.215,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,1,1,12,12.00,0,100.0%,12.00
Tevin Coleman,RB,25.209,2018-11-11,NFL,ATL,@,CLE,L 16-28,9,10,Sun,5,3,19,6.33,0,60.0%,3.80
Logan Thomas,TE,27.133,2018-11-11,NFL,BUF,@,NYJ,W 41-10,10,10,Sun,1,1,1,1.00,0,100.0%,1.00
Isaiah McKenzie,WR,23.216,2018-11-11,NFL,BUF,@,NYJ,W 41-10,10,10,Sun,1,1,14,14.00,0,100.0%,14.00
LeSean McCoy,RB,30.122,2018-11-11,NFL,BUF,@,NYJ,W 41-10,10,10,Sun,1,1,5,5.00,0,100.0%,5.00
