player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Pierre Garcon,WR,32.039,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,4,4,57,14.25,0,100.0%,14.25
Garrett Celek,TE,30.110,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,2,2,22,11.00,1,100.0%,11.00
Matt Breida,RB,23.200,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,4,3,21,7.00,0,75.0%,5.25
Kendrick Bourne,WR,23.043,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,1,1,4,4.00,1,100.0%,4.00
Jacquizz Rodgers,RB,28.222,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,3,3,23,7.67,0,100.0%,7.67
DeSean Jackson,WR,31.289,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,4,4,129,32.25,1,100.0%,32.25
Adam Humphries,WR,25.084,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,2,1,8,8.00,0,50.0%,4.00
O.J. Howard,TE,23.301,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,4,3,96,32.00,1,75.0%,24.00
Chris Godwin,WR,22.201,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,6,5,56,11.20,1,83.3%,9.33
Mike Evans,WR,25.026,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,12,10,83,8.30,1,83.3%,6.92
Peyton Barber,RB,24.201,2018-09-16,NFL,TAM,,PHI,W 27-21,2,2,Sun,2,1,7,7.00,0,50.0%,3.50
Chris Thompson,RB,27.331,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,14,13,92,7.08,0,92.9%,6.57
Paul Richardson,WR,26.156,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,6,4,63,15.75,0,66.7%,10.50
Jordan Reed,TE,28.075,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,8,6,55,9.17,0,75.0%,6.88
Adrian Peterson,RB,33.179,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,3,3,30,10.00,0,100.0%,10.00
Josh Doctson,WR,25.287,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,7,4,37,9.25,0,57.1%,5.29
Vernon Davis,TE,34.228,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,1,1,7,7.00,0,100.0%,7.00
Jamison Crowder,WR,25.091,2018-09-16,NFL,WAS,,IND,L 9-21,2,2,Sun,4,2,8,4.00,0,50.0%,2.00
Ito Smith,RB,23.012,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,4,3,41,13.67,0,75.0%,10.25
Mohamed Sanu,WR,29.032,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,7,4,36,9.00,1,57.1%,5.14
Calvin Ridley,WR,23.277,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,8,7,146,20.86,3,87.5%,18.25
Logan Paulsen,TE,31.209,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,1,1,11,11.00,0,100.0%,11.00
Julio Jones,WR,29.227,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,6,5,96,19.20,0,83.3%,16.00
Austin Hooper,TE,23.323,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,4,3,23,7.67,0,75.0%,5.75
Marvin Hall,WR,25.166,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,1,1,7,7.00,0,100.0%,7.00
Tevin Coleman,RB,25.160,2018-09-23,NFL,ATL,,NOR,L 37-43,3,3,Sun,3,2,14,7.00,1,66.7%,4.67
Marcus Murphy,RB,27.197,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,1,1.00,0,100.0%,1.00
Ray-Ray McCloud,FB,21.343,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,6,6.00,0,100.0%,6.00
Zay Jones,WR,23.177,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,17,17.00,0,100.0%,17.00
Chris Ivory,RB,30.185,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,4,3,70,23.33,0,75.0%,17.50
Andre Holmes,WR,30.099,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,4,3,29,9.67,0,75.0%,7.25
Jason Croom,TE,24.207,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,1,1,26,26.00,1,100.0%,26.00
Charles Clay,TE,29.222,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,3,2,18,9.00,0,66.7%,6.00
Kelvin Benjamin,WR,27.230,2018-09-23,NFL,BUF,@,MIN,W 27-6,3,3,Sun,5,3,29,9.67,0,60.0%,5.80
Jarius Wright,WR,28.302,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,1,1,7,7.00,0,100.0%,7.00
Ian Thomas,TE,22.109,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,5,3,20,6.67,0,60.0%,4.00
Torrey Smith,WR,29.240,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,6,3,19,6.33,0,50.0%,3.17
D.J. Moore,WR,21.162,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,2,1,3,3.00,0,50.0%,1.50
Christian McCaffrey,RB,22.108,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,2,2,10,5.00,0,100.0%,5.00
Devin Funchess,WR,24.125,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,7,4,67,16.75,1,57.1%,9.57
C.J. Anderson,RB,27.225,2018-09-23,NFL,CAR,,CIN,W 31-21,3,3,Sun,1,1,24,24.00,1,100.0%,24.00
Allen Robinson,WR,25.030,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,7,3,50,16.67,0,42.9%,7.14
Anthony Miller,WR,23.349,2018-09-23,NFL,CHI,@,ARI,W 16-14,3,3,Sun,5,4,35,8.75,0,80.0%,7.00
